,band_combo,description,is_featured,full_size,large,thumbnail,profile_picture_attribution,sponsor_name,sponsor_website,birthday,date_imported,date_modified,get_age,get_life_stage,name,primary_band,sex,slug,status,study_area,colours,date_deployed,special,style,symbols
180,Black G on Green,"UPDATE - April 1st 2019:
Unfortunately Sharlotte the kea has been found to have VERY high blood lead levels. Please keep an eye out for her if you're near Homer Tunnel or anywhere in the Milford Sound area of Fiordland. Please contact us or DOC Te Anau if you see her so she can be caught and treated for lead poisoning. She will be released again into the wild once she is healthy (usually after a few weeks).

This kea, banded at Homer Tunnel in March 2019, is named after the late Sharlotte Stainsby who was in the DOC partnership team in Dunedin for many years. Sadly Sharlotte passed away early 2018 at 41 years young. One of Sharlotte’s very last trips was to Fiordland where she visited Doubtful Sound. Sharlotte was stoic with a dry sense of humour and a determination of kea proportions.  

Hopefully we can track kea Sharlotte’s whereabouts and adventures.",True,https://media.keadatabase.nz/media/birds/sharlotte/TobyMansonPhoto_Kea_MilfordSound-2017-10.jpg,https://media.keadatabase.nz/media/__sized__/birds/sharlotte/TobyMansonPhoto_Kea_MilfordSound-2017-10-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/sharlotte/TobyMansonPhoto_Kea_MilfordSound-2017-10-crop-c0-5__0-5-350x250-70.jpg,Toby Manson,,,2019-01-01,2019-04-22T23:49:20+12:00,2019-04-22T23:49:25.238697+12:00,0,Fledgling,Sharlotte,V-1353,Female,sharlotte,Alive,Fiordland,"['black', 'green']",2019-03-17,,new,['G']
181,Black 4 on White,"This kea was banded at Arthur's Pass Village in August 2017 with the help of Marianne. 
Kea don't mind the rain too much and are still reasonably active unless it is a big downpour. Kea also like playing and washing in ponds and streams, especially on hot days.

The opportunity to sponsor and name a kea created great excitement and conversation for the BNZ Financial Crime Management Centre team. 

""We are a team of Financial Crime Analysts and we have decided to go with the name Sherlock as a loose play on our roles. """,False,https://media.keadatabase.nz/media/birds/sherlock/Black4onWhite.jpeg,https://media.keadatabase.nz/media/__sized__/birds/sherlock/Black4onWhite-crop-c0-61__0-3-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/sherlock/Black4onWhite-crop-c0-61__0-3-350x250-70.jpeg,Mark Brabyn,BNZ Financial Crime Management Centre,http://www.bnz.co.nz,2014-01-01,2018-02-23T12:36:24+13:00,2018-04-04T11:00:40.642232+12:00,5,Adult,Sherlock,V-1270,Male,sherlock,Alive,Waimakariri,"['white', 'black']",2017-08-29,,new,['4']
182,Yellow AM on Blue,"Shonagh is a fledgling female kea banded at Moturau hut on the Kepler track during August 2019. This lovely young kea is named after our volunteer Kaitiaki Cam's mother - Shonagh. 

Shonagh, a proud Cantabrian, was responsible for establishing and running the processes and audits for the ESOL (English as a Second Language) international students coming to New Zealand during the late 1990s and late 2000s. 

Due to medical misadventure, Shonagh became disabled with a stroke and suffered slight paralysis. Against all the odds, Shonagh is still fighting fit despite the awful circumstances, is a strong-willed and determined woman who is positive and has a vibrant character - just like our feathered friends.",False,https://media.keadatabase.nz/media/birds/shonagh/Shonagh_Moturau_Hut_Celia_Yvon_v2.jpg,https://media.keadatabase.nz/media/__sized__/birds/shonagh/Shonagh_Moturau_Hut_Celia_Yvon_v2-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/shonagh/Shonagh_Moturau_Hut_Celia_Yvon_v2-crop-c0-5__0-5-350x250-70.jpg,Celia Yvon,,,2019-01-01,2019-09-12T13:07:02+12:00,2019-09-12T13:07:04.482377+12:00,0,Fledgling,Shonagh,V-3196,Female,shonagh,Alive,Fiordland,"['yellow', 'blue']",2019-08-20,,new,['AM']
183,White Σ on Green,Sigma was banded at Treble Cone ski field in August 2016 by Paul Van Klink. Kea were once common visitors to most of the ski-fields in the South Island of NZ but this has drastically changed in the last few years—Mt Hutt has had no kea visit in 2018 for the first time on record.,False,https://media.keadatabase.nz/media/birds/sigma/Sigma.jpeg,https://media.keadatabase.nz/media/__sized__/birds/sigma/Sigma-crop-c0-36__0-46-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/sigma/Sigma-crop-c0-36__0-46-350x250-70.jpeg,Joshua Brown,,,2013-01-01,2017-06-28T00:21:37.066785+12:00,2018-04-04T11:00:40.716061+12:00,6,Adult,Sigma,V-1311,Male,sigma,Alive,Wanaka,"['white', 'green']",2016-08-25,sigma,new,['Σ']
184,Yellow === on Blue,"Simpson was banded as a fledgling by Laura Young at Homer Tunnel, Fiordland in June 2017.
Kea love playing in the snow. One was recently filmed rolling a snowball down a track.",False,https://media.keadatabase.nz/media/birds/simpson/Simpson.jpg,https://media.keadatabase.nz/media/__sized__/birds/simpson/Simpson-crop-c0-37__0-33-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/simpson/Simpson-crop-c0-37__0-33-350x250-70.jpg,Anja Kohler,,,2017-01-01,2018-05-25T16:13:34+12:00,2018-05-25T16:13:46.472572+12:00,2,Sub-Adult,Simpson,V-2632,Female,simpson,Alive,Fiordland,"['yellow', 'blue']",2017-06-05,,new,['===']
185,Black D on Yellow,"Snag was hatched in Dunedin and came to live at Orana Wildlife Park in Christchurch in 2014.
He is a very impressive male kea and has an exceptionally large bill which he uses for cracking open seeds and nuts. He is a bit of a greedy guts and likes to scoff his food down. This makes him very easy to spot due to his bulging crop (which is a pouch in the throat where birds store their food before it is digested).
Snag is the dominant male of Orana Wildlife Park’s kea group and likes to ensure the boisterous younger kea are behaving and keeping in line.
Snag plays an important role in conservation advocacy, educating visitors on appropriate behavior around his wild cousins, such as keeping belongings secure to prevent kea from accessing them.",False,https://media.keadatabase.nz/media/birds/snag/snag02.jpg,https://media.keadatabase.nz/media/__sized__/birds/snag/snag02-crop-c0-26__0-31-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/snag/snag02-crop-c0-26__0-31-350x250-70.jpg,Orana Park,,,1989-08-03,2017-10-13T11:16:17+13:00,2017-10-13T11:16:18.819123+13:00,30,Adult,Snag,,Male,snag,Alive,Orana Park,"['black', 'yellow']",2017-09-07,,new,['D']
186,Red L on White,"Spanky was first banded in 2012, but after his original bands wore out they were replaced in 2016 by Laura Young. The photo shows his original bands, if you see him out and about now he'll be 'Red L on White'. This kea is estimated to be over ten years old!",False,https://media.keadatabase.nz/media/birds/spanky/Spanky.jpeg,https://media.keadatabase.nz/media/__sized__/birds/spanky/Spanky-crop-c0-69__0-4-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/spanky/Spanky-crop-c0-69__0-4-350x250-70.jpeg,Kate le Comte,,,2007-01-01,2017-06-28T00:21:32.317088+12:00,2018-04-04T11:00:41.138308+12:00,12,Adult,Spanky,V-0754,Male,spanky,Alive,Waimakariri,"['white', 'red']",2016-10-16,,new,['L']
187,White Z on Brown,"Spark was banded in Arthur's Pass township by Mark and Kate in October 2017 as a fledgling.
In 2017 alone, three kea (including Simon and Andrew) were electrocuted at Temple Basin skifield from chewing on wires.  This has also been a problem in other mountain villages such as Mt Cook. There intelligence and curiosity can be their downfall. The Department of Conservation have worked with Orion to hopefully sort out this issue. 

Andrew Docking from Smart Connections named and sponsored Spark after finding out about the project  after staying a night at Hawdon hut with some of the Arthur's Pass Kea Team.

Hopefully Spark wont be jinxed by his name!!",False,https://media.keadatabase.nz/media/birds/spark/Spark.JPG,https://media.keadatabase.nz/media/__sized__/birds/spark/Spark-crop-c0-28__0-26-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/spark/Spark-crop-c0-28__0-26-350x250-70.JPG,Mark Brabyn,Smart Connections,http://www.smartconnections.co.nz/,2017-01-01,2017-10-24T18:56:09+13:00,2018-04-04T11:00:41.165165+12:00,2,Sub-Adult,Spark,V-2522,Male,spark,Alive,Waimakariri,"['white', 'brown']",2017-10-15,,new,['Z']
188,White / x - x / x,Spike's white metal band is a little chipped but still has lots of colour on it. Spike was hatched at Willowbank. He is one of the dominant males in the Willowbank hierarchy. Spike is trained to present his feet for veterinary inspections. Ask him to hold his beak and he will show his feet to be checked. This makes health checks less stressful for him.,False,https://media.keadatabase.nz/media/birds/spike/spike01.jpg,https://media.keadatabase.nz/media/__sized__/birds/spike/spike01-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/spike/spike01-crop-c0-5__0-5-350x250-70.jpg,Willowbank,,,1995-10-01,2017-10-13T11:09:17+13:00,2017-10-13T11:09:18.394098+13:00,23,Adult,Spike,,Male,spike,Alive,Willowbank,['white'],2017-10-13,,old,[]
189,Yellow 4 on Black,SuzieQ was banded at Mt Hutt carpark in October 2017 by Mark and Margaret. She is almost certainly the sibling of Percy who she is with most of the time. An adult male that is sometimes seen with them scavenging around the carpark could be their parent.,False,https://media.keadatabase.nz/media/birds/suzieq/Yellow4onBlack.jpeg,https://media.keadatabase.nz/media/__sized__/birds/suzieq/Yellow4onBlack-crop-c0-64__0-48-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/suzieq/Yellow4onBlack-crop-c0-64__0-48-350x250-70.jpeg,Mark Brabyn,Sue Stubenvoll,,2017-01-01,2017-11-16T09:35:55+13:00,2018-04-04T11:00:41.595441+12:00,2,Sub-Adult,SuzieQ,V-1660,Female,suzieq,Alive,Waimakariri,"['yellow', 'black']",2017-10-06,,new,['4']
190,Unbanded,"The children at Little Footsteps John Street Early Learning Centre Blenheim, were invited to name a kea. This male fledgling kea has been sighted recently (May/June 2018) in the areas of Fairhall and Waihopai near Blenheim. This kea has not been caught and given bands but because it’s such a special sighting and a kea visit is highly unusual to this area, we want to give him a bit of a profile anyway. Ana, a wonderful teacher at the centre, used a kea puppet to introduce the kea and develop the concept of naming the kea. The tamariki were fascinated and many learnt for the first time about kea. They chose to name this male fledgling ‘Taawhirimaatea’, meaning cheeky wind. One four-year old boy called Mylo thought this was an appropriate name as he is aware that kea are known for their cheeky nature and can fly high in the wind.

Let us know if you see him (or his mates) in the area!",False,https://media.keadatabase.nz/media/birds/taawhirimaatea/Taawhirimaatea.JPG,https://media.keadatabase.nz/media/__sized__/birds/taawhirimaatea/Taawhirimaatea-crop-c0-63__0-4-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/taawhirimaatea/Taawhirimaatea-crop-c0-63__0-4-350x250-70.JPG,Murray Chapman,Little Footsteps Quality Care and Education Centre,http://littlefootsteps.co.nz,2018-01-01,2018-06-28T17:30:15+12:00,2018-06-29T15:57:16.705585+12:00,1,Juvenile,Taawhirimaatea,Unbanded,Male,taawhirimaatea,Alive,Mt Richmond,['No Colours'],2018-06-28,,old,[]
191,White A3 on Green,"Meet Tahae, a young male kea who is one of five banded kea seen at Remarkables ski area this year. With two more unbanded kea also being seen, this brings at least seven to the area after a noticeable decline in numbers the past few years. 

The Remarkables’ staff Kaitiakitanga committee recently sought the help of visitors on the mountain to name one of the male kea. The winning name is Tāhae, which means ‘thief’ in Te Reo Māori – a nod to the bird’s tendencies to steal people’s belongings. Amy McLoughlin from Alexandra, who suggested the winning name, wins a handcrafted topographical map of the Wakatipu created by sustainably-minded artwork company The Furnace.

The Remarkables ski field crew are doing an amazing job to enhance their habitat and increase the Kea population locally. Follow this link to read more about the kea in the area and the Kea Conservation Trust's partnership with NZ Ski to help do everything they can for kea conservation around skifields:
https://www.ausleisure.com.au/news/nzski-celebrates-the-return-of-kea-to-the-remarkables/",True,https://media.keadatabase.nz/media/birds/tahae/Tahae_male_Kea_The_Remarkables.jpg,https://media.keadatabase.nz/media/__sized__/birds/tahae/Tahae_male_Kea_The_Remarkables-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/tahae/Tahae_male_Kea_The_Remarkables-crop-c0-5__0-5-350x250-70.jpg,Remarkables Ski staff,NZ Ski,https://www.nzski.com/,2018-01-01,2019-09-23T12:13:28+12:00,2019-09-23T12:13:31.109071+12:00,1,Juvenile,Tahae,V-3248,Male,tahae,Alive,Wakatipu,"['white', 'green']",2019-08-15,,new,['A3']
192,Black F on Light Blue,"'Taiao' is a special word in te reo Māori; it refers to nature or the environment. Kea are an integral part of New Zealand's environment, and the mountains and forests of Te Wai Pounamu - the South Island. The unmistakable call of the kea defines wild nature.

This name was chosen by Alison Ballance who was with us in Arthur's Pass during March 2019 to record an episode of Our Changing World on the Kea Sightings Database for Radio New Zealand.",True,https://media.keadatabase.nz/media/birds/taiao/Juv_kea_on_Blackball_Ridge_Hawdon_2011.JPG,https://media.keadatabase.nz/media/__sized__/birds/taiao/Juv_kea_on_Blackball_Ridge_Hawdon_2011-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/taiao/Juv_kea_on_Blackball_Ridge_Hawdon_2011-crop-c0-5__0-5-350x250-70.JPG,Laura Young,,,2015-01-01,2019-04-17T21:11:56+12:00,2019-04-17T21:12:00.022982+12:00,4,Adult,Taiao,V-3000,Female,taiao,Alive,Waimakariri,"['black', 'lightblue']",2019-02-07,,new,['F']
193,x / Metal - Orange / Green,Tatty is shown here in her nest cavity with  2 eggs in Okarito Forest. She was banded in 2011 by Jacinda Amey and had a transmitter attached so her nest site could be located. She has successfully raised at lease one chick with her partner Rex.,False,https://media.keadatabase.nz/media/birds/tatty/Tatty_2011_090611_01.JPG,https://media.keadatabase.nz/media/__sized__/birds/tatty/Tatty_2011_090611_01-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/tatty/Tatty_2011_090611_01-crop-c0-5__0-5-350x250-70.JPG,,,,2008-01-01,2017-06-28T00:21:33.363344+12:00,2018-04-04T11:00:41.784003+12:00,11,Adult,Tatty,V-0772,Female,tatty,Alive,Westland,"['metal', 'orange', 'green']",2011-01-19,,old,[]
194,White === on Blue,"Taz is a lower ranking male in the willowbank flock. He is often found hanging around with the other younger males. Taz's blue metal band is faded but the V-2003 is visible up close. He is one of the males who is getting chased away by the others a lot, as he is a very gentle male. Therefore it's sometimes difficult for him to get to show off during training. But when he gets his moment alone, he rocks.",False,https://media.keadatabase.nz/media/birds/taz/Taz.JPG,https://media.keadatabase.nz/media/__sized__/birds/taz/Taz-crop-c0-4__0-32-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/taz/Taz-crop-c0-4__0-32-350x250-70.JPG,Mark Brabyn,,,2012-09-28,2017-10-13T11:12:10+13:00,2017-10-13T11:12:11.004733+13:00,6,Adult,Taz,,Male,taz,Alive,Willowbank,"['blue', 'white']",2017-10-13,,new,['===']
195,White ± on Red,"Teifi (pronounced ""Tye-vee"" - a Welsh name) is a kea banded in mid July 2019, at Luxmore Hut. Teifi is named after a little helper at the hut, the five-year old daughter of a legendary conservationist in Fiordland; they were staying at the hut and helping out the hut warden and with kea work.",False,https://media.keadatabase.nz/media/birds/teifi/Teifi_2019_Moturau_Hut_Kepler_by_Rose_Calhoun.jpg,https://media.keadatabase.nz/media/__sized__/birds/teifi/Teifi_2019_Moturau_Hut_Kepler_by_Rose_Calhoun-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/teifi/Teifi_2019_Moturau_Hut_Kepler_by_Rose_Calhoun-crop-c0-5__0-5-350x250-70.jpg,Rose Colhoun,,,2019-01-01,2019-07-29T11:30:21+12:00,2019-07-29T11:30:27.164812+12:00,0,Fledgling,Teifi,V-3070,Male,teifi,Alive,Fiordland,"['white', 'red']",2019-07-12,,new,['±']
196,White D on Pink,"The amazing team at Kingswood Skis have sponsored this delightful, placid young male kea:

Kingswood Skis is a handmade ski company based in Lyttelton. Kingswood owners and customers have seen the sharp decline in kea firsthand. These cheeky birds always played a starring role in the Canterbury club ski field experience - you learned quickly not to leave your gloves and goggles on the deck when you went into the hut for a cuppa! This year, we didn’t see a single kea at Mount Olympus. 

Kingswood decided to sponsor a kea and ask our community to help with sightings. We left the naming to our crowd! Tenacious D seems like a hopeful name for a declining species - and one  that we hope will spring to mind when you spot his tag.",False,https://media.keadatabase.nz/media/birds/tenacious-d/DSC_0158.JPG,https://media.keadatabase.nz/media/__sized__/birds/tenacious-d/DSC_0158-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/tenacious-d/DSC_0158-crop-c0-5__0-5-350x250-70.JPG,L Young,Kingswood Skis,https://www.kingswoodskis.com/,2017-01-01,2018-12-30T13:01:56+13:00,2018-12-30T13:02:01.270773+13:00,2,Sub-Adult,Tenacious D,V-2612,Male,tenacious-d,Alive,Waimakariri,"['white', 'pink']",2018-12-21,,new,['D']
198,Black X on Yellow,"Tiaki was found in March 2018 by DOC Ranger Melissa Helsby to be very sick, and was taken to the South Island Wildlife Hospital for lead treatment.

After a few weeks of chelation (lead removal) he headed back to his home in the mountains around Aoraki/Mount Cook.

DOC Kea Scientist Corey Mosen and volunteer George Moon fitted Tiaki with a small 'backpack' transmitter that enables DOC staff to track his whereabouts as part of understanding kea behaviour in the area. The transmitter is designed to fall off after a certain amount of time.

Thanks to the South Island Wildlife Hospital team for all of their work with sick and injured kea!

You can read about Tiaki on DOC's blog: https://blog.doc.govt.nz/2018/06/14/comeback-for-curious-kea-tiaki/",False,https://media.keadatabase.nz/media/birds/tiaki/tiaki.jpg,https://media.keadatabase.nz/media/__sized__/birds/tiaki/tiaki-crop-c0-62__0-47-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/tiaki/tiaki-crop-c0-62__0-47-350x250-70.jpg,South Island Wildlife Hospital,South Island Wildlife Hospital,https://www.wildlifehospital.co.nz/,2017-01-01,2018-04-17T12:46:40+12:00,2018-04-17T12:49:34.810499+12:00,2,Sub-Adult,Tiaki,V-2220,Male,tiaki,Alive,Aoraki,"['black', 'yellow']",2018-04-09,,new,['X']
199,Black P on Grey,Tick Tock was banded at Deaths Corner in November 2011 as an adult. His old band (Red E on White) fell off and was replaced with Black P on Grey in August 2017.,False,https://media.keadatabase.nz/media/birds/tick-tock/Tick_Tock_Kate_le_Comte.jpg,https://media.keadatabase.nz/media/__sized__/birds/tick-tock/Tick_Tock_Kate_le_Comte-crop-c0-74__0-68-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/tick-tock/Tick_Tock_Kate_le_Comte-crop-c0-74__0-68-350x250-70.jpg,Kate le Comte,,,2008-01-01,2017-06-28T00:21:33.888757+12:00,2018-04-04T11:00:42.119864+12:00,11,Adult,Tick Tock,V-1692,Male,tick-tock,Alive,Waimakariri,"['black', 'grey']",2017-08-30,,new,['P']
200,Black F on Grey,"Tiki lives at Orana Wildlife Park in Christchurch. He is the first born chick of Blue and Pūihi and has three younger siblings, Arthur, Lewis, and Holly who were hatched in 2014.
Tiki is incredibly friendly and inquisitive and loves to investigate new things. Kea are renowned for being one of the smartest birds in the world and Tiki is exceptionally intelligent. He can often be seen investigating new things and demonstrating his remarkable problem solving skills by solving puzzles and being a great teacher to his younger siblings.
His favourite thing to do is digging through rotting logs to find huhu grubs which he pulls out with his dexterous beak.
Tiki plays an important role in conservation advocacy, educating visitors on appropriate behavior around his wild cousins, such as never feeding kea human food.",False,https://media.keadatabase.nz/media/birds/tiki/tiki03.jpg,https://media.keadatabase.nz/media/__sized__/birds/tiki/tiki03-crop-c0-39__0-26-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/tiki/tiki03-crop-c0-39__0-26-350x250-70.jpg,Orana Park,,,2012-10-01,2017-10-13T11:15:06+13:00,2017-10-13T11:15:07.953174+13:00,6,Adult,Tiki,,Male,tiki,Alive,Orana Park,"['black', 'grey']",2017-09-07,,new,['F']
201,Green D on Black,"This young male kea was banded at Porters Ski area in August 2018 along with a couple of other fledgling kea.

He has been sponsored by the Thieving Kea, a boutique little store based in the heart of Wanaka with a passion for the bohemian, eco and a flair for the different.",False,https://media.keadatabase.nz/media/birds/tk/Green_D_on_Black_in_snow.jpg,https://media.keadatabase.nz/media/__sized__/birds/tk/Green_D_on_Black_in_snow-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/tk/Green_D_on_Black_in_snow-crop-c0-5__0-5-350x250-70.jpg,,Thieving Kea,https://www.thievingkea.com,2018-01-01,2018-12-17T00:38:11+13:00,2018-12-17T00:38:13.436455+13:00,1,Juvenile,TK,V-1039,Male,tk,Alive,Waimakariri,"['black', 'green']",2018-08-30,,new,['D']
202,Black B on Yellow,Toot was banded at Deaths Corner by Raoul Schwing in November 2010.,False,https://media.keadatabase.nz/media/birds/toot/Toot_1Nov2015.JPG,https://media.keadatabase.nz/media/__sized__/birds/toot/Toot_1Nov2015-crop-c0-33__0-35-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/toot/Toot_1Nov2015-crop-c0-33__0-35-350x250-70.JPG,Mark Graham,,,2007-01-01,2017-06-28T00:21:34.237509+12:00,2018-04-04T11:00:42.429190+12:00,12,Adult,Toot,V-0757,Female,toot,Alive,Waimakariri,"['yellow', 'black']",2019-02-10,,new,['B']
203,White 4 on Blue,"Trillian was banded by Cleo Reid at Death's Corner in January 2015 as a fledgling.  Cleo did her thesis on the damage kea inflict on sheep on New Zealand's high country stations.
In October 2016 a transmitter was fitted to Trillian. Her signal has been tracked to the area around Warnocks Knob but she has not yet started nesting. She is very often seen with Schist.",False,https://media.keadatabase.nz/media/birds/trillian/Trillian.JPG,https://media.keadatabase.nz/media/__sized__/birds/trillian/Trillian-crop-c0-65__0-54-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/trillian/Trillian-crop-c0-65__0-54-350x250-70.JPG,Corey Mosen,Laurie Winter Photography,http://www.lauriewinterphotography.com,2015-01-01,2017-06-28T00:21:34.497846+12:00,2018-04-04T11:00:42.591365+12:00,4,Adult,Trillian,V-1645,Female,trillian,Alive,Waimakariri,"['white', 'blue']",2015-01-07,,new,['4']
204,Red R on White,Trixy was caught and banded in December 2008 at Okarito Trig by Francesca Cunninghame. She is pictured here in August 2012 with a very young chick.,False,https://media.keadatabase.nz/media/birds/trixy/Trixy_chick4_22Aug2012.JPG,https://media.keadatabase.nz/media/__sized__/birds/trixy/Trixy_chick4_22Aug2012-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/trixy/Trixy_chick4_22Aug2012-crop-c0-5__0-5-350x250-70.JPG,,,,2005-01-01,2017-06-28T00:21:34.528982+12:00,2018-04-04T11:00:42.607374+12:00,14,Adult,Trixy,V-1286,Female,trixy,Alive,Westland,"['white', 'red']",2012-08-22,,new,['R']
205,White / White - x / Metal,"Trooper was banded by Laura in October 2017 at Porters Ski Area.

He was named by a family that Laura met and wanted to do a film on the project.

Trooper was such a big bird that the plastic bands were too small, so Laura could only use the full-size metal bands.",False,https://media.keadatabase.nz/media/birds/trooper/IMG_3782.jpg,https://media.keadatabase.nz/media/__sized__/birds/trooper/IMG_3782-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/trooper/IMG_3782-crop-c0-5__0-5-350x250-70.jpg,George Moon,,,2013-01-01,2018-03-08T12:31:45+13:00,2018-04-04T11:00:42.624274+12:00,6,Adult,Trooper,V-1539,Male,trooper,Alive,Waimakariri,"['white', 'metal']",2017-10-02,,old,[]
206,Yellow G on Black,"Tuhura (meaning ""explore"") was banded at Deaths Corner in April 2017 as a fledgling. Valarie, Jane Goodall and Hopey were all banded at a similar time to Tuhura and some of them are likely to be his siblings.

Tuhura's name was chosen after a naming poll by Active Adventures who are one of the major sponsors of this project. 

Update August/September 2018: Wondering why Tuhura  - one of the most highly sighted kea - hasn't been seen for a while? He spends a lot of his time in the carpark overlooking the Otira Viaduct. In late August, he was hit by a car or had some sort of collision accident in the carpark and was found by the team looking very concussed, injured and worse for wear. We took him into the South Island Wildlife Hospital straight away and he has been treated by the wonderful team there. He has had to have eye surgery and now one eye has been removed. We'll provide more information as it comes to light.

Update: October 2018: Tuhura is back! After amazing treatment by Dr Pauline and team after his accident, Tuhura was released back into the wild in mid October. He has regularly been seen by visitors and seems to be coping well with his missing eye, compensating in other ways. Please take special care around this bird as his responses are still compromised as he gets used to living with just one eye.",True,https://media.keadatabase.nz/media/birds/tuhura/tuhura2.jpg,https://media.keadatabase.nz/media/__sized__/birds/tuhura/tuhura2-crop-c0-45__0-28-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/tuhura/tuhura2-crop-c0-45__0-28-350x250-70.jpg,George Moon,Active Adventures,http://activeadventures.com/,2017-01-01,2017-08-04T17:36:42+12:00,2018-04-04T11:00:42.640362+12:00,2,Sub-Adult,Tuhura,V-2561,Male,tuhura,Alive,Waimakariri,"['yellow', 'black']",2017-08-04,,new,['G']
207,Black 3 on Yellow,"Uenuku was banded in January 2017 as part of the Hawdon kea summer survey.
In Māori mythology, Uenuku is the god of rainbows. He is particularly special to the Tainui Māori.",False,https://media.keadatabase.nz/media/birds/uenuku/P1010760.JPG,https://media.keadatabase.nz/media/__sized__/birds/uenuku/P1010760-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/uenuku/P1010760-crop-c0-5__0-5-350x250-70.JPG,,,,2014-01-01,2017-06-28T00:21:36.915664+12:00,2018-04-04T11:00:43.029770+12:00,5,Adult,Uenuku,V-1603,Female,uenuku,Alive,Waimakariri,"['yellow', 'black']",2017-01-08,,new,['3']
208,Yellow : on Black,Valerie was banded by Laura Young and George Moon at Deaths Corner  in 2017.,False,https://media.keadatabase.nz/media/birds/valerie/Valerie.PNG,https://media.keadatabase.nz/media/__sized__/birds/valerie/Valerie-crop-c0-5__0-5-500x500.PNG,https://media.keadatabase.nz/media/__sized__/birds/valerie/Valerie-crop-c0-5__0-5-350x250.PNG,George Moon,,,2017-01-01,2017-08-04T17:52:51+12:00,2018-04-04T11:00:43.234504+12:00,2,Sub-Adult,Valerie,V-0309,Female,valerie,Alive,Waimakariri,"['yellow', 'black']",2017-08-04,,new,[':']
209,White Z on Green,Violet was banded in 2012 by Amanda Greer. She is seen here standing on the rock with some of her friends up at Temple Basin Ski Area.,False,https://media.keadatabase.nz/media/birds/violet/Keas_at_temple_basin_2.jpg,https://media.keadatabase.nz/media/__sized__/birds/violet/Keas_at_temple_basin_2-crop-c0-53__0-39-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/violet/Keas_at_temple_basin_2-crop-c0-53__0-39-350x250-70.jpg,,,,2011-01-01,2017-06-28T00:21:35.293762+12:00,2018-04-04T11:00:43.355978+12:00,8,Adult,Violet,V-2332,Female,violet,Alive,Waimakariri,"['white', 'green']",2012-02-16,,new,['Z']
210,Orange 2 on Black,Vladimir II was banded in Arthur's Pass village on a bitterly freezing winter night in August. The vets from the South Island Wildlife Hospital came along on a trip to help with a lead level survey. This kea was a real feisty wee biter and scratcher!,False,https://media.keadatabase.nz/media/birds/vladimir-ii/Vladimir_head_zoomed.jpg,https://media.keadatabase.nz/media/__sized__/birds/vladimir-ii/Vladimir_head_zoomed-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/vladimir-ii/Vladimir_head_zoomed-crop-c0-5__0-5-350x250-70.jpg,Laura Young,South Island Wildlife Hospital,https://www.wildlifehospital.co.nz/,2018-01-01,2018-09-06T15:40:21+12:00,2019-06-11T16:27:25.213946+12:00,1,Juvenile,Vladimir II,V-2568,Male,vladimir-ii,Alive,Waimakariri,"['orange', 'black']",2018-08-25,,new,['2']
